nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;01-dna.50MB;18902.1;2852.5;19690612;52428800
2;02-dna.100MB;37497.9;5664.1;37423212;104857600
3;03-dna.200MB;81115;11239.5;71009792;209715200
