nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;01-sources.50MB;19411;3656;26271568;52428220
2;02-sources.100MB;40793;7084;49101312;104856900
3;03-sources.200MB;80701;13220;91549620;209714396
