nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;01-english.50MB;21126.9;3768.6;26339980;52411715
2;02-english.100MB;45165.2;7381.8;49995280;104823571
3;03-english.200MB;91158.5;14339.2;94034780;209671456
