nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;01-english.50MB;4953.2;2284.3;29880845;52411715
2;02-english.100MB;9924.55;4579.1;60118438;104823571
3;03-english.200MB;19937.4;9137.6;119434474;209671456
