nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;01-sources.50MB;5552;2453;36427415;52428220
2;02-sources.100MB;10987;4845;72908661;104856900
3;03-sources.200MB;22194;9771;143858433;209714396
